"Team","Member","Order","Point","Adc","Recalled","Overclm","Outcome","Tnm","Game","Gender","Adcp","Accuracy","Teammate","Teamsize","outcomexspec"
6,66,7,18,18,19,4,"win","2015.5.13","Single","Male",20,1,10,20,18
6,67,8,15,12,15,2,"win","2015.5.13","Single","Male",14,0,10,20,12
6,68,9,18,16,19,4,"win","2015.5.13","Double","Male",19,1,10,20,16
6,69,9,18,16,19,6,"win","2015.5.13","Double","Male",19,1,10,20,16
7,70,1,65,26,64,5,"loss","2015.10.27","Double","Female",29,-1,15,20,-26
7,71,1,65,26,64,5,"loss","2015.10.27","Double","Male",29,-1,15,20,-26
7,72,2,14,25,12,10,"loss","2015.10.27","Double","Male",29,-2,15,20,-25
7,73,2,14,25,14,8,"loss","2015.10.27","Double","Female",29,0,15,20,-25
7,74,3,3,31,3,7,"loss","2015.10.27","Double","Male",35,0,15,20,-31
7,75,3,3,31,4,6,"loss","2015.10.27","Double","Female",35,1,15,20,-31
7,76,4,7,11,6,3,"loss","2015.10.27","Double","Female",14,-1,15,20,-11
7,77,4,7,11,7,2,"loss","2015.10.27","Double","Male",14,0,15,20,-11
7,78,5,1,22,1,8,"loss","2015.10.27","Double","Male",25,0,15,20,-22
7,79,5,1,22,1,9,"loss","2015.10.27","Double","Female",25,0,15,20,-22
7,80,6,4,13,4,3,"loss","2015.10.27","Single","Female",15,0,15,20,-13
7,81,7,3,15,3,6,"loss","2015.10.27","Double","Male",18,0,15,20,-15
7,82,7,3,15,1,4,"loss","2015.10.27","Double","Female",18,-2,15,20,-15
7,83,8,1,13,1,6,"loss","2015.10.27","Double","Male",16,0,15,20,-13
7,84,8,1,13,1,5,"loss","2015.10.27","Double","Female",16,0,15,20,-13
8,85,1,4,13,4,1,"win","2015.10.27","Double","Male",17,0,10,20,13
8,86,1,4,13,4,2,"win","2015.10.27","Double","Female",17,0,10,20,13
8,87,2,12,20,10,6,"win","2015.10.27","Double","Male",24,-2,10,20,20
8,88,2,12,20,10,8,"win","2015.10.27","Double","Female",24,-2,10,20,20
8,89,3,2,9,2,1,"win","2015.10.27","Double","Male",13,0,10,20,9
8,90,3,2,9,2,1,"win","2015.10.27","Double","Female",13,0,10,20,9
