"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","A1.1","stay","leave","A1.4","A2.1","A2.2","A2.3","A2.4","A3.1","A3.2","A3.3","Q138","A3.4","A3.5","A3.6","Q139","A3.7","A3.8","A3.9","Q140","A3.10","A3.11","A3.12","Q141","A3.13","A3.14","A3.15","Q142","A3.16","A3.17","A3.18","Q143","A3.19","A3.20","A3.21","Q144","A3.22","A3.23","A3.24","Q145","A3.25","A3.26","A3.27","Q146","A3.28","A3.29","A3.30","Q147","A3.31","A3.32","A3.33","Q148","A3.34","A3.35","A3.36","Q149","A3.37","A3.38","A3.39","Q150","A3.40","A3.41","A3.42","Q151","A3.43","A3.44","A3.45","Q152","A3.46","A3.47","A3.48","Q153","A3.49","A3.50","A3.51","Q154","A3.52","A3.53","A3.54","Q155","A3.55","A3.56","A3.57","Q156","A3.58","A3.59","A3.60","Q157","A3.61","A3.62","A3.63","Q158","A3.64","A3.65","A3.66","Q159","A3.67","A3.68","A3.69","Q160","A3.70","A3.71","A3.72","Q161","A3.73","A3.74","A3.75","Q162","A3.76","A3.77","A3.78","Q163","A3.79","A3.80","A3.81","Q164","A3.82","A3.83","A3.84","Q165","A3.85","A3.86","A3.87","Q166","A3.88","A3.89","A3.90","Q167","A3.91","A3.92","A3.93","Q168","A4.1","A4.2","A4.3","A4.4","A5.1","A5.2","A5.3","A6.1","A6.2","A6.3","A6.4","A6.5","A6.6","A6.7","A6.8","A6.9_1","A6.9_2","A6.9_3","A6.9_4","A7.1","LocationLatitude","LocationLongitude","LocationAccuracy","condition","accuracy_gain","accuracy_lost","accuracy_lost_new","comment"
"R_29uZX5ht7MnQeFd","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-15 15:00:45,2015-10-15 15:12:29,1,1,1,NA,1,1,1,NA,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,78,59,20,50,40,15,"&nbsp;",1,"Female",18,"Yes","Whether regular normal people have the ability to tell a fake smile from a real smile",1,1,0,0,67.64,0,"MMS","41.780395507812","-87.602699279785","-1","observed",-47,-14,-25,""
"R_2fqCMACMCHOnjcQ","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-15 15:21:57,2015-10-15 15:38:31,1,1,1,NA,1,1,1,NA,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,30,38,-8,20,40,0,"very observed",1,"Male",20,"Yes","Had to have something to do with the observer, but not sure",1,1,0,0,63.783,0,"MMS","41.780395507812","-87.602699279785","-1","observed",-95,-35,-46,""
"R_31iJcYeqKN4QfMR","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-15 16:12:07,2015-10-15 17:25:34,1,1,1,NA,1,1,1,NA,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,50,40,10,60,50,10,"&nbsp;",1,"Male",18,"Yes","Can fake smiles pass as real smiles more than actual genuine smiles.",1,1,0,0,67.307,0,"MMS","41.780395507812","-87.602699279785","-1","observed",-75,-33,-44,""
"R_3MlYgFWSdzcj9J8","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-15 17:33:37,2015-10-15 17:44:25,1,1,1,NA,1,1,1,NA,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,100,100,0,100,100,0,"&nbsp;",1,"Male",18,"Yes","Do people working under supervision feel more stressed and negatively impacted from defeat/failure than they do on average?",1,1,0,0,100.917,0,"MMS","41.780395507812","-87.602699279785","-1","observed",-25,27,16,""
"R_1F3Y03qi3Fq9gcP","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-15 17:52:38,2015-10-15 18:01:49,1,1,1,NA,1,1,1,NA,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,150,100,50,140,120,20,"very observed",1,"Male",18,"Yes","Something about confidence",1,1,0,0,59.113,0,"MMS","41.780395507812","-87.602699279785","-1","observed",25,27,16,""
"R_2qlTCjOk4x1y0kM","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-16 12:56:47,2015-10-16 13:07:01,1,1,1,NA,1,1,1,NA,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,90,40,50,80,60,20,"&nbsp;",1,"Male",31,"Yes","if people can distinguish fake smiles",1,1,48.412,48.412,48.802,1,"Participant had taken Everyday Snacking before. Should be ineligible.
Was very vocal, kept saying things like ""that looks real"" ""that looks phony"" ""she looks into it"" etc.
Ran by MB","41.780395507812","-87.602699279785","-1","observed",-35,-33,-44,""
"R_3GB2zVF9t8EyiH6","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-16 13:48:33,2015-10-16 14:01:14,1,1,1,NA,1,1,1,NA,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,70,35,35,90,45,45,"&nbsp;",1,"Female",18,"Yes","Does someone watching you play an effect on your memory?",1,1,0,0,120.004,0,"","41.780395507812","-87.602699279785","-1","observed",-55,-38,-49,""
"R_3kNhReaL4aZLGoy","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-16 14:01:30,2015-10-16 14:23:35,1,1,1,NA,1,1,1,NA,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,100,95,5,125,85,40,"&nbsp;",1,"Male",20,"Yes","Something about how being observed or not impacted how many points you thought you got, or how you rated your performance as compared to others.",1,1,65.878,67.075,69.753,2,"An error message popped up twice while the participant was doing the study - it just said ""An unexpected error occurred"" but when the participant hit the ""ok"" button, the message went away and everything seemed fine. Not sure what the cause of it was. MMS","41.780395507812","-87.602699279785","-1","observed",-25,22,11,""
"R_1INaJ8FPby1SE4G","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-16 14:38:04,2015-10-16 14:56:45,1,1,1,NA,1,1,1,NA,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,100,50,50,120,60,60,"&nbsp;",1,"Male",19,"Yes","People estimate themselves as more or less empathetic than others.",1,1,58.353,58.353,58.642,1,"Participant's phone was going off in his backpack, he didn't pull it out and look at it though. MMS","41.780395507812","-87.602699279785","-1","observed",-25,-23,-34,""
"R_3POgTbRiz6qNORh","Default Response Set","Anonymous","","","128.135.213.175","0",2015-10-16 15:33:21,2015-10-16 16:33:16,1,1,1,NA,1,1,1,NA,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Fake",1,1,1,"Real",1,1,1,"Real",1,1,1,48,45,3,45,45,0,"&nbsp;",1,"Female",19,"Yes","People judge themselves differently from others--especially under pressure.",1,1,0,0,86.09,0,"MMS","41.780395507812","-87.602699279785","-1","observed",-77,-28,-39,""
