Team,Member,play_order_skill,earned_points,spectators_n,recalled_points,perceived_contribution_1_10,team_outcome,tournament,match_type,gender,Adcp,accuracy_recalled_minus_earned,team_size,Teamsize,outcomexspec
5.0,50.0,3.0,13.0,24.0,13.0,4.0,,2015.5.13,Double,Female,27.0,0.0,13.0,19.0,-24.0
5.0,51.0,3.0,13.0,24.0,13.0,4.0,,2015.5.13,Double,Male,27.0,0.0,13.0,19.0,-24.0
5.0,52.0,4.0,13.0,12.0,12.0,5.0,,2015.5.13,Single,Male,14.0,-1.0,13.0,19.0,-12.0
5.0,53.0,5.0,16.0,11.0,16.0,4.0,,2015.5.13,Double,Male,14.0,0.0,13.0,19.0,-11.0
5.0,54.0,5.0,16.0,11.0,16.0,4.0,,2015.5.13,Double,Female,14.0,0.0,13.0,19.0,-11.0
5.0,55.0,6.0,18.0,11.0,20.0,5.0,,2015.5.13,Double,Female,14.0,2.0,13.0,19.0,-11.0
5.0,56.0,6.0,18.0,11.0,20.0,5.0,,2015.5.13,Double,Male,14.0,2.0,13.0,19.0,-11.0
5.0,57.0,7.0,18.0,27.0,18.0,7.0,,2015.5.13,Single,Male,29.0,0.0,13.0,19.0,-27.0
5.0,58.0,8.0,15.0,23.0,13.0,5.0,,2015.5.13,Single,Male,29.0,-2.0,13.0,19.0,-23.0
5.0,59.0,9.0,14.0,22.0,14.0,9.0,,2015.5.13,Single,Male,25.0,0.0,13.0,19.0,-22.0
6.0,60.0,1.0,19.0,6.0,18.0,4.0,,2015.5.13,Single,Male,8.0,-1.0,10.0,20.0,6.0
6.0,61.0,2.0,13.0,12.0,13.0,3.0,,2015.5.13,Single,Male,15.0,0.0,10.0,20.0,12.0
6.0,62.0,3.0,18.0,14.0,18.0,5.0,,2015.5.13,Single,Male,16.0,0.0,10.0,20.0,14.0
6.0,63.0,4.0,20.0,20.0,21.0,6.0,,2015.5.13,Single,Male,23.0,1.0,10.0,20.0,20.0
6.0,64.0,5.0,15.0,26.0,14.0,7.0,,2015.5.13,Single,Male,29.0,-1.0,10.0,20.0,26.0
6.0,65.0,6.0,14.0,27.0,15.0,5.0,,2015.5.13,Single,Male,29.0,1.0,10.0,20.0,27.0
6.0,66.0,7.0,18.0,18.0,19.0,4.0,,2015.5.13,Single,Male,20.0,1.0,10.0,20.0,18.0
6.0,67.0,8.0,15.0,12.0,15.0,2.0,,2015.5.13,Single,Male,14.0,0.0,10.0,20.0,12.0
6.0,68.0,9.0,18.0,16.0,19.0,4.0,,2015.5.13,Double,Male,19.0,1.0,10.0,20.0,16.0
6.0,69.0,9.0,18.0,16.0,19.0,6.0,,2015.5.13,Double,Male,19.0,1.0,10.0,20.0,16.0
7.0,70.0,1.0,65.0,26.0,64.0,5.0,,2015.10.27,Double,Female,29.0,-1.0,15.0,20.0,-26.0
7.0,71.0,1.0,65.0,26.0,64.0,5.0,,2015.10.27,Double,Male,29.0,-1.0,15.0,20.0,-26.0
7.0,72.0,2.0,14.0,25.0,12.0,10.0,,2015.10.27,Double,Male,29.0,-2.0,15.0,20.0,-25.0
7.0,73.0,2.0,14.0,25.0,14.0,8.0,,2015.10.27,Double,Female,29.0,0.0,15.0,20.0,-25.0
7.0,74.0,3.0,3.0,31.0,3.0,7.0,,2015.10.27,Double,Male,35.0,0.0,15.0,20.0,-31.0
7.0,75.0,3.0,3.0,31.0,4.0,6.0,,2015.10.27,Double,Female,35.0,1.0,15.0,20.0,-31.0
7.0,76.0,4.0,7.0,11.0,6.0,3.0,,2015.10.27,Double,Female,14.0,-1.0,15.0,20.0,-11.0
7.0,77.0,4.0,7.0,11.0,7.0,2.0,,2015.10.27,Double,Male,14.0,0.0,15.0,20.0,-11.0
7.0,78.0,5.0,1.0,22.0,1.0,8.0,,2015.10.27,Double,Male,25.0,0.0,15.0,20.0,-22.0
7.0,79.0,5.0,1.0,22.0,1.0,9.0,,2015.10.27,Double,Female,25.0,0.0,15.0,20.0,-22.0
7.0,80.0,6.0,4.0,13.0,4.0,3.0,,2015.10.27,Single,Female,15.0,0.0,15.0,20.0,-13.0
7.0,81.0,7.0,3.0,15.0,3.0,6.0,,2015.10.27,Double,Male,18.0,0.0,15.0,20.0,-15.0
7.0,82.0,7.0,3.0,15.0,1.0,4.0,,2015.10.27,Double,Female,18.0,-2.0,15.0,20.0,-15.0
7.0,83.0,8.0,1.0,13.0,1.0,6.0,,2015.10.27,Double,Male,16.0,0.0,15.0,20.0,-13.0
7.0,84.0,8.0,1.0,13.0,1.0,5.0,,2015.10.27,Double,Female,16.0,0.0,15.0,20.0,-13.0
8.0,85.0,1.0,4.0,13.0,4.0,1.0,,2015.10.27,Double,Male,17.0,0.0,10.0,20.0,13.0
8.0,86.0,1.0,4.0,13.0,4.0,2.0,,2015.10.27,Double,Female,17.0,0.0,10.0,20.0,13.0
8.0,87.0,2.0,12.0,20.0,10.0,6.0,,2015.10.27,Double,Male,24.0,-2.0,10.0,20.0,20.0
8.0,88.0,2.0,12.0,20.0,10.0,8.0,,2015.10.27,Double,Female,24.0,-2.0,10.0,20.0,20.0
8.0,89.0,3.0,2.0,9.0,2.0,1.0,,2015.10.27,Double,Male,13.0,0.0,10.0,20.0,9.0
8.0,90.0,3.0,2.0,9.0,2.0,1.0,,2015.10.27,Double,Female,13.0,0.0,10.0,20.0,9.0
8.0,91.0,4.0,5.0,25.0,4.0,5.0,,2015.10.27,Single,Male,28.0,-1.0,10.0,20.0,25.0
8.0,92.0,5.0,75.0,19.0,75.0,9.0,,2015.10.27,Double,Male,23.0,0.0,10.0,20.0,19.0
8.0,93.0,5.0,75.0,19.0,75.0,10.0,,2015.10.27,Double,Male,23.0,0.0,10.0,20.0,19.0
8.0,94.0,6.0,70.0,15.0,70.0,10.0,,2015.10.27,Single,Male,18.0,0.0,10.0,20.0,15.0
9.0,95.0,1.0,9.0,16.0,10.0,5.0,,2015.10.27,Double,Female,19.0,1.0,16.0,17.0,-16.0
9.0,96.0,1.0,9.0,16.0,7.0,3.0,,2015.10.27,Double,Female,19.0,-2.0,16.0,17.0,-16.0
9.0,97.0,2.0,17.0,18.0,15.0,7.0,,2015.10.27,Double,Male,22.0,-2.0,16.0,17.0,-18.0
